"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Источник","Сегмент","Показывать","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Описание"
"Результаты","97296","Раскрываемость преступлений (Предварительно расследованы на 100 зарегистрированных)","случай","Санкт-Петербург","","всего","случаев","27741","28420","25963","25390","26644","25332","23078","н/д","2399","н/д","н/д","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Количество предварительно расследованных преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 преступлений, зарегистрированных правоохранительными органами в течение отчётного периода."
"Результаты","97297","Раскрываемость преступлений (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Санкт-Петербург","","всего","","49,1","50,3","49,6","48,7","51,82","52,09452","37,6","40,8","41,6","41,0","37,8","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Количество предварительно расследованных преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 преступлений, зарегистрированных правоохранительными органами в течение отчётного периода."
"Результаты","97298","Раскрываемость преступлений (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Санкт-Петербург","","тяжкие и особо тяжкие","","30","31","25","27","30","31","25","37,58","43,41","41,07","35,03","Данные статистического наблюдения по форме 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Количество предварительно расследованных преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 преступлений, зарегистрированных правоохранительными органами в течение отчётного периода."
"Результаты","97299","Раскрываемость преступлений по видам (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Санкт-Петербург","","кражи","","32,84","35,35","34,11","29,88","31,77","30,56639","24,5489","28,7","32,2","н/д","н/д","Кражи и убийства: форма 1-ЕГС \""Единый отчет о преступности\"". Незаконный оборот наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Результаты","97300","Раскрываемость преступлений по видам (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Санкт-Петербург","","убийства","","78,52","91,58","78,3","88,38","80,95","98,55072","77,7027027","84,21052632","100,0","93,87755102","н/д","Кражи и убийства: форма 1-ЕГС \""Единый отчет о преступности\"". Незаконный оборот наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Результаты","97301","Раскрываемость преступлений по видам (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Санкт-Петербург","","незаконный оборот наркотиков","","51,75","51,90","47,51","53,73","55,12","59,51","42,60","62,34","65,31","57,96","60,63","Кражи и убийства: форма 1-ЕГС \""Единый отчет о преступности\"". Незаконный оборот наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Результаты","97302","Раскрываемость преступлений, совершенных c использованием ИТ-технологий или в сфере компьютерной информации (Предв. расследованы на 100 зарег.)","усл.ед.","Санкт-Петербург","","всего","","н/д","н/д","н/д","н/д","34,17","26,48","11,73","19,13","21,71","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Количество предварительно расследованных киберпреступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 киберпреступлений, зарегистрированных правоохранительными органами в течение отчётного периода. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Результаты","97303","Раскрываемость преступлений, совершенных c использованием ИТ-технологий или в сфере компьютерной информации (Предв. расследованы на 100 зарег.)","усл.ед.","Санкт-Петербург","","мошенничество","","н/д","н/д","н/д","н/д","9,9","11,0","3,5","2,6","4,9","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Количество предварительно расследованных киберпреступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 киберпреступлений, зарегистрированных правоохранительными органами в течение отчётного периода. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Результаты","97304","Раскрываемость преступлений, совершенных c использованием ИТ-технологий или в сфере компьютерной информации (Предв. расследованы на 100 зарег.)","усл.ед.","Санкт-Петербург","","кражи","","н/д","н/д","н/д","н/д","40,5","27,5","7,9","20,5","35,0","н/д","н/д","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Количество предварительно расследованных киберпреступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 киберпреступлений, зарегистрированных правоохранительными органами в течение отчётного периода. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Результаты","97305","Разыскивалось лиц, скрывшихся от органов дознания, следствия, суда","человек","Санкт-Петербург","","","","3565","3601","3568","3153","2948","3001","2750","2643","2715","2639","2830","Данные статистической отчетности по форме 3 \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"""
"Общие социально-экономические показатели","97322","Общая численность населения","человек","Санкт-Петербург","","все население","","5131942","5191690","5225690","5281579","5351935","5383890","5398064","5384342","5377503","5600044","5597763","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97323","Общая численность населения","человек","Санкт-Петербург","","мужчины","","2327507","2356023","2361468","2386814","2422075","2437926","2443038","2436074","2435193","н/д","2523105","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97324","Общая численность населения","человек","Санкт-Петербург","","женщины","","2804435","2835667","2864222","2894765","2929860","2945964","2955026","2948268","2942310","3074589","3074658","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97325","Общая численность населения","человек","Санкт-Петербург","","дети (0-17 лет)","","746110","781435","821979","863392","898977","924044","947039","963262","973739","н/д","938110","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97326","Величина прожиточного минимума","рубль","Санкт-Петербург","","","","8015","9995","10408","10737","10987","11431","11704","11910,4","н/д","н/д","н/д","Источник: gks.ru. Величина прожиточного минимума для всего населения, расчет среднего значения за 4 квартала. Для Республики Крым и г.Севастополь в 2014 году расчет среднего арифметического за 3 и 4 кварталы 2014 года."
"Общие социально-экономические показатели","97327","Оценка дотационности региона","","Санкт-Петербург","","","","н/д","не получает дотации","не получает дотации","не получает дотации","н/д","не получает дотации","не получает дотации","н/д","н/д","н/д","н/д","Приказы Минфина Об утверждении перечней субъектов Российской Федерации в соответствии с положениями пункта 5 статьи 130 Бюджетного кодекса Российской Федерации"
"Прочее","97306","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Санкт-Петербург","","в регионе","погибли и ранено","203,0","170,8","142,5","147,0","148,1","150,6","116,5","109,2","91,3","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97307","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Санкт-Петербург","","среднее по России","погибли и ранено","194,0","173,9","164,8","159,7","158,7","155,2","135,7","125,0","119,41","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97308","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Санкт-Петербург","","в регионе","погибли","8,0","6,8","4,6","5,0","4,3","4,2","4,1","3,7","2,5","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97309","Пострадавшие в ДТП (на 100 тысяч)","чел./100000","Санкт-Петербург","","среднее по России","погибли","18,8","15,8","13,9","13,0","12,4","11,6","11,0","10,1758","9,6596","н/д","н/д","Форма № ДТП «Сведения о дорожно-транспортных происшествиях», Число лиц, погибших в ДТП, Число лиц, раненых в ДТП. Для удельных показателей используется численность постоянного населения на 1 января."
"Прочее","97312","Разыскивалось лиц, пропавших без вести","человек","Санкт-Петербург","","в регионе","человек","1969","1920","1839","1507","1329","1017","1092","955","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97313","Разыскивалось лиц, пропавших без вести","чел./100000","Санкт-Петербург","","в регионе","на 100 000 населения","38","37","35","29","25","19","20","18","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97314","Разыскивалось лиц, пропавших без вести","человек","Санкт-Петербург","","среднее по России","человек","93900","93085","88751","83923","76217","49785","41901","н/д","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97315","Разыскивалось лиц, пропавших без вести","чел./100000","Санкт-Петербург","","среднее по России","на 100 000 населения","65","64","61","57","52","34","29","28","н/д","н/д","н/д","Форма стат. отчетности 3 (код 030) \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"". В показатель включены все категории разыскиваемых за год, в т.ч. пропавшие без явного криминального следа, однако, в ряде регионов данный показатель может быть маркером, характеризующим преступность в регионе. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Прочее","97318","Смертность от внешних причин","чел./100000","Санкт-Петербург","","в регионе","","80,7","82,4","73,6","69,1","67,3","59,4","61,0","60,8","н/д","н/д","н/д","Число умерших по основным классам и отдельным причинам смерти за год (внешние причины) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014 г)"
"Прочее","97319","Смертность от внешних причин","чел./100000","Санкт-Петербург","","среднее по России","","130,0","121,4","114,3","104,0","98,5","93,8","95,1","95,5","н/д","н/д","н/д","Число умерших по основным классам и отдельным причинам смерти за год (внешние причины) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014 г)"
"Прочее","97321","Пострадавшие в чрезвычайных ситуациях","чел./100000","Санкт-Петербург","","","","0,3","0,0","0,0","2,0","0,4","0,5","0,0","н/д","н/д","н/д","н/д",""
"Масштабы","","","человек","Российская Федерация","","","","18,8","14,2","13,9","24,9","12,4","82,4","11,0","н/д","9,7","н/д","н/д",""
"Масштабы","97231","Потерпевшие от преступлений","человек","Российская Федерация","","потерпевших","всего","1595617","1699020","1544238","1417374","1335166","1369812","1376753","1332977","1240323","1226572","1181503","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97232","Потерпевшие от преступлений","чел./100000","Российская Федерация","","потерпевших","на 100 000 населения","1110,6","1161,6","1053,8","965,5","909,0","933,2","938","912","852","838","808","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97233","Потерпевшие от преступлений","случай","Российская Федерация","","преступлений","всего","2190578","2388476","2160063","2058476","1991532","2024337","2044221","2004404","1966795","1947161","1911258","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97234","Потерпевшие от преступлений","случай","Российская Федерация","","преступлений","на 100 000 населения","1524,8","1633,0","1474,0","1402,2","1355,9","1379,2","1393,0","1371,3","1351,2","1329,6","1307,7","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97235","Потерпевшие - мужчины, женщины и несовершеннолетние","человек","Российская Федерация","","мужчины","всего человек","840750","893562","812628","766929","724361","728063","706082","687689","641597","607736","583721",""
"Масштабы","97236","Потерпевшие - мужчины, женщины и несовершеннолетние","человек","Российская Федерация","","женщины","всего человек","754867","805458","731610","650445","610805","641 749","670671","645288","598726","618836","597782","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97237","Потерпевшие - мужчины, женщины и несовершеннолетние","человек","Российская Федерация","","несовершеннолетние","всего человек","95431","102695","78698","105519","106779","107571","94881","112387","113304","107925","107592","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97238","Потерпевшие - мужчины, женщины и несовершеннолетние","чел./100000","Российская Федерация","","мужчины","на 100 000  соотв. населения","1 263,39","1 318,49","1 196,86","1 127,10","1 063,36","1 069,16","1 036,48","1 014","948","893","859",""
"Масштабы","97239","Потерпевшие - мужчины, женщины и несовершеннолетние","чел./100000","Российская Федерация","","женщины","на 100 000  соотв. населения","978,8","1026,1","930,2","825,9","775,5","815,6","853","824","769","790","764","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97240","Потерпевшие - мужчины, женщины и несовершеннолетние","чел./100000","Российская Федерация","","несовершеннолетние","на 100 000  соотв. населения","343,4","362,1","271,2","356,8","356,2","356","312","370","374","358","359","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97241","Потерпевшие: погибли и тяжкий вред здоровью","человек","Российская Федерация","","погибло","всего человек","32611","32352","29933","27330","25978","24030","22783","23284","21174","21046","23474","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97242","Потерпевшие: погибли и тяжкий вред здоровью","человек","Российская Федерация","","тяжкий вред здоровью","всего человек","43582","45450","43284","41549","40319","38209","35561","32846","32600","32417","31986","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97243","Потерпевшие: погибли и тяжкий вред здоровью","человек","Российская Федерация","","убито","всего человек","12921","11984","10569","9048","7986","7302","6859","5839","5414","4724","н/д","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97244","Потерпевшие: погибли и тяжкий вред здоровью","чел./100000","Российская Федерация","","погибло","на 100 000 населения","22,7","22,1","20,4","18,6","17,7","16","16","16","15","14","16","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97245","Потерпевшие: погибли и тяжкий вред здоровью","чел./100000","Российская Федерация","","тяжкий вред здоровью","на 100 000 населения","30,3","31,1","29,5","28,3","27,5","26","24","22","22","22","22","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97246","Потерпевшие: погибли и тяжкий вред здоровью","чел./100000","Российская Федерация","","убито","на 100 000 населения","9,0","8,2","7,2","6,2","5,4","5,0","5","4","4","3","н/д","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97247","Потерпевшие: погибли и тяжкий вред здоровью","человек","Российская Федерация","","погибшие от насильственных преступлений","всего человек","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","9366","8792","11327","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97248","Потерпевшие: погибли и тяжкий вред здоровью","человек","Российская Федерация","","погибшие от насильственных преступлений","на 100 000 населения","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","6,43","6","7,75","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97249","Потерпевшие: погибли и тяжкий вред здоровью","человек","Российская Федерация","","","всего человек","76193","77802","73217","68879","66297","62239","58344","56130","53774","53463","55460","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью. \""Убитые\"": число умерших по основным классам и отдельным причинам смерти за год (убийство) - записи в медицинских свидетельствах о смерти, составляемых  врачом. Такие записи служат основанием для указания причины смерти в записях актов о смерти. \
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97250","Потерпевшие: погибли и тяжкий вред здоровью (на 100 000 населения)","чел./100000","Российская Федерация","","","на 100 000 населения","53,0","53,2","50,0","46,9","45,1","42,4","40,0","38,4","36,9","36,5","37,9","Данные статистического наблюдения по форме 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Численность погибших, признанных потерпевшими, а также потерпевших, которым причинен тяжкий вред здоровью (на 100 000 населения).\
Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97251","Изнасилование и покушение на изнасилование","случай","Российская Федерация","","","преступлений","н/д","н/д","3893","3538","3374","3177","3535","3457","3311","3096","3104","Изнасилование и покушение на изнасилование ст. 30 и 131 УК РФ. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного населения на 1 января."
"Масштабы","97252","Изнасилование и покушение на изнасилование","случай","Российская Федерация","","","на 100 000 населения","н/д","н/д","2,66","2,41","2,30","2,2","2,4","2,4","2,3","2,1","2,1","Изнасилование и покушение на изнасилование ст. 30 и 131 УК РФ. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Для удельных показателей используется численность постоянного населения на 1 января."
"Масштабы","97253","Топ-3 преступлений","случай","Российская Федерация","","кражи","всего случаев","908901","1018456","871084","788531","756395","774159","751243","733075","697567","583343","499642","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97254","Топ-3 преступлений","случай","Российская Федерация","","мошенничество","всего случаев","н/д","н/д","208926","222772","215036","257187","335631","339606","343085","433708","445690","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97255","Топ-3 преступлений","случай","Российская Федерация","","незаконный оборот наркотиков","всего случаев","254730","236939","201165","208681","200306","190197","189905","179732","177741","190988","198043","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97256","Топ-3 преступлений","%","Российская Федерация","","кражи","% от всех преступлений","41,5","42,6","40,3","38,3","38,0","38,2","36,7","37","35","30","26","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Масштабы","97257","Топ-3 преступлений","%","Российская Федерация","","мошенничество","% от всех преступлений","н/д","н/д","9,7","10,8","10,8","12,7","16,4","16,9","17,4","22,27386436","23,31919605","Данные по кражам:  форма 1-ЕГС \""Единый отчет о преступности\"". Данные по незаконному обороту наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
