"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Источник","Сегмент","Показывать","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Описание"
"Результаты","97301","Раскрываемость преступлений по видам (Предварительно расследованы на 100 зарегистрированных)","усл.ед.","Российская Федерация","","незаконный оборот наркотиков","","55,34","57,47","60,00","57,64","56,50","54,03","53,17","56,05","57,69","60,29","57,27","Кражи и убийства: форма 1-ЕГС \""Единый отчет о преступности\"". Незаконный оборот наркотиков: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Отражает количество преступлений, которые были зарегистрированы правоохранительными органами в течение отчётного периода, связанных с незаконным оборотом наркотиков и психотропных веществ. К незаконному обороту относятся незаконные приобретение, хранение, перевозка, изготовление, переработка, сбыт наркотических средств, психотропных веществ или их аналогов."
"Результаты","97302","Раскрываемость преступлений, совершенных c использованием ИТ-технологий или в сфере компьютерной информации (Предв. расследованы на 100 зарег.)","усл.ед.","Российская Федерация","","всего","","н/д","н/д","н/д","н/д","24,82","22,16","18,60","22,97","27,16","25,45088197","22,55485945","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Количество предварительно расследованных киберпреступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 киберпреступлений, зарегистрированных правоохранительными органами в течение отчётного периода. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Результаты","97303","Раскрываемость преступлений, совершенных c использованием ИТ-технологий или в сфере компьютерной информации (Предв. расследованы на 100 зарег.)","усл.ед.","Российская Федерация","","мошенничество","","н/д","н/д","н/д","н/д","10,3","10,7","9,1","8,7","11,9","10,56900295","10,06194392","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Количество предварительно расследованных киберпреступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 киберпреступлений, зарегистрированных правоохранительными органами в течение отчётного периода. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Результаты","97304","Раскрываемость преступлений, совершенных c использованием ИТ-технологий или в сфере компьютерной информации (Предв. расследованы на 100 зарег.)","усл.ед.","Российская Федерация","","кражи","","н/д","н/д","н/д","н/д","31,9","21,3","15,1","26,8","37,6","35,44525719","35,35969491","Киберпреступность - преступления, совершенные с использованием ИТ-технологий или в сфере компьютерной информации. Количество предварительно расследованных киберпреступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде) на 100 киберпреступлений, зарегистрированных правоохранительными органами в течение отчётного периода. Источник: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\""."
"Результаты","97305","Разыскивалось лиц, скрывшихся от органов дознания, следствия, суда","человек","Российская Федерация","","","","125878","119479","114891","105334","97655","90251","84706","82894","81441","78991","83025","Данные статистической отчетности по форме 3 \""Отчет о розыскной и идентификационной деятельности органов внутренних дел Российской Федерации\"""
"Общие социально-экономические показатели","97322","Общая численность населения","человек","Российская Федерация","","все население","","143666931","146267288","146544710","146804372","146880432","146780720","146748590","146171015","145557576","146447424","146150789","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97323","Общая численность населения","человек","Российская Федерация","","мужчины","","66546888","67771724","67896547","68044299","68119915","68096427","68123073","67847799","67654284","н/д","67917353","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97324","Общая численность населения","человек","Российская Федерация","","женщины","","77120043","78495564","78648163","78760073","78760517","78684293","78625517","78323216","77903292","78354712","78233436","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97325","Общая численность населения","человек","Российская Федерация","","дети (0-17 лет)","","27790942","28357975","29014468","29573971","29980680","30215423","30370372","30383341","30328283","н/д","29958997","ЕМИСС: Численность постоянного населения на 1 января, все население по полу и возрасту.  За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Общие социально-экономические показатели","97326","Величина прожиточного минимума","рубль","Российская Федерация","","","","8050","9701","9828","10088","10287","10890","11311","11653","н/д","н/д","н/д","Источник: gks.ru. Величина прожиточного минимума для всего населения, расчет среднего значения за 4 квартала. Для Республики Крым и г.Севастополь в 2014 году расчет среднего арифметического за 3 и 4 кварталы 2014 года."
